date,code,name,action,price,amount,sector
2026-09-15,005930,삼성전자,BUY,248500,150094000.0,반도체와반도체장비
2026-09-15,041830,인바디,BUY,58300,99984500.0,건강관리장비와용품
2026-09-15,093370,후성,BUY,14780,100001480.0,화학
2026-09-15,010950,S-Oil,BUY,148700,99926400.0,석유와가스
2026-09-15,420770,기가비스,BUY,98700,99983100.0,반도체와반도체장비
2026-09-15,023530,롯데쇼핑,BUY,115300,99965100.0,백화점과일반상점
2026-09-15,483650,달바글로벌,BUY,163100,99980300.0,화장품
2026-09-15,089970,브이엠,BUY,48900,100000500.0,반도체와반도체장비
2026-09-15,036540,SFA반도체,BUY,8600,100000800.0,반도체와반도체장비
2026-09-15,134580,탑코미디어,BUY,3915,49998465.0,양방향미디어와서비스
